roadid,lat,lon,route,車格數量
1,25.01157119971716,121.4780544574126,106甲縣道,4
2,25.02165672223397,121.4792792112332,三民路一段,35
3,25.02315948886511,121.479704671686,三民路一段31巷,5
4,25.01551356327908,121.4790414861726,三民路二段,89
5,25.01418985346229,121.4766339569923,三民路二段正隆巷,16
6,25.02819134217621,121.4799115491722,大同街,11
7,25.00316803089966,121.4587764143152,大明街,2
8,25.00336910943352,121.4588244207069,大明街20巷,7
9,25.00217347606727,121.4580967942283,大明街25巷,7
10,25.01482880825096,121.4563233601008,大智街,7
11,24.99955841217404,121.4444669906477,大觀路二段,25
12,24.99932908613957,121.4467350925577,大觀路二段153巷,11
13,24.99416881851891,121.4597012440328,干城路,23
14,25.02131812457491,121.4809183943156,中山路二段443巷,30
15,25.01486835803595,121.4761735844026,中山路二段90巷,4
16,25.02364591717817,121.4542746127186,中正路 板橋體育館,91
17,25.01383567053637,121.456435526992,中正路 家樂福,46
18,25.01175789284456,121.4553920187169,中正路1巷,13
19,25.02348607770245,121.4556368403903,中正路372巷,49
20,25.02068055171602,121.4534557157221,中正路375巷,21
21,25.02004172443518,121.453774043209,中正路379巷,4
22,25.02097700437473,121.4533200060014,中正路379巷3弄,16
23,25.02112603962889,121.4532489076459,中正路397巷3弄,3
24,25.01466266100892,121.4575828167073,中正路80巷,5
25,25.027203191942,121.462268105262,互助街,21
26,25.0085186217272,121.462600562229,公園街,44
27,25.0213553543022,121.459804662276,公館街,6
28,25.0265526741905,121.4723446410941,文化路二段,2
29,25.02707139178917,121.4715077912637,文化路二段182巷,12
30,25.02789513765445,121.4714949934478,文化路二段182巷1弄,21
31,25.02698696528265,121.4716424627675,文化路二段182巷5弄,4
32,25.02720825379181,121.4721515379894,文化路二段182巷7弄,68
33,25.03432286647137,121.4805658767158,文新路,7
34,25.02409805429048,121.4622032842739,文德路,17
35,25.01097719609595,121.4571420271997,北門街,23
36,24.99447948317967,121.452035270994,四川路二段,12
37,24.99488311523763,121.4497418469451,四川路二段130巷,1
38,24.99220817951561,121.452263094695,四川路二段245巷,25
39,25.02637039571631,121.4635390595206,四維路177巷4弄,4
40,25.01271596974418,121.4761990402889,民生路一段,16
41,25.01393636299711,121.4758281570526,民生路一段30巷,18
42,25.0138135957813,121.4756260093798,民生路一段31巷,1
43,25.01954787770438,121.4709124880958,民生路二段,39
44,25.03224848175837,121.462888728563,民生路三段,10
45,25.01460925135657,121.4752922898466,民享街,19
46,25.00879694968635,121.4699571479414,民族路219巷,6
47,25.00818775999386,121.4700353519235,民族路225巷,6
48,25.00783936321135,121.4699731151712,民族路247巷3弄,6
49,25.00858937840738,121.4702740935148,民族路247巷5弄,4
50,25.00872839507361,121.4706245697707,民族路247巷7弄,6
51,25.01429225250099,121.4585464573296,民權路,22
52,25.027750866591,121.481406109121,田單街2巷,5
53,25.01577322681691,121.4832830870431,光中路,51
54,25.02742979597087,121.4666875701174,光武街,12
55,25.02838247355481,121.466198670404,光武街125巷,4
56,25.02715652886202,121.466823496471,光武街50巷,1
57,25.01844853769192,121.4841386948803,光復街,32
58,25.01863155279981,121.4847606438618,光復街140巷,3
59,25.01869236594572,121.4849681528814,光復街172巷,21
60,25.0173809694917,121.482803163482,光環路一段,83
61,24.99915535378604,121.4468732087324,合安一路,2
62,25.00509421394202,121.4625252294116,成都街,18
63,25.00494141613057,121.4618297035959,成都路63巷,1
64,25.01094613223864,121.453929247552,西門街,1
65,25.03002270737497,121.4684697165732,吳鳳路,8
66,24.99452939135486,121.460279540857,和平路,36
67,24.99519517638328,121.4622026056781,和平路101巷,9
68,24.99570704581669,121.4632321413444,和平路143巷,1
69,24.99670403986377,121.4633913195439,和平路161巷,1
70,24.99537918395396,121.4644687989778,和平路200巷,1
71,24.99926087292408,121.4469157030514,和安一路,6
72,25.01380421619949,121.4811835731505,居仁巷1弄,1
73,25.00988844369623,121.4596448637781,府中路,1
74,25.00280077076685,121.4664655233087,忠孝路,56
75,25.00265915958188,121.46481713406,忠孝路201巷,1
76,25.01021065971326,121.4597864378565,明德街,11
77,25.02920062009272,121.468663913322,松江街,15
78,24.99893039143606,121.4505114700021,板城路,29
79,25.01472924777917,121.4495204888717,板城路(環河),19
80,25.01223968907891,121.4763169760851,板新路,6
81,25.023633021015225,121.48273111836966,林森街3巷1弄,1
82,25.02142523391653,121.4592900783144,金華街85巷,4
83,25.00934896808953,121.4687718903168,長安街,9
84,25.0095755345704,121.4727014881213,長安街138巷,5
85,25.01081138317556,121.4722102552057,長安街251巷,26
86,25.0160686183948,121.4813489468142,長壽街,32
87,25.02458693218391,121.4616839748115,雨農路,15
88,24.99412718935445,121.4574688680004,信義路,5
89,25.01176196542147,121.451669142659,南雅西路二段145巷,22
90,25.01203719268413,121.4516063289325,南雅西路二段175巷,1
91,25.00159114706741,121.4543952308556,南雅南路二段,18
92,24.99515092624457,121.4502006647836,南雅南路二段144巷,12
93,25.03628790732882,121.4793749057516,柏翠里,11
94,25.02394178765258,121.4594037595069,英士路,67
95,25.00316869518459,121.4625938751393,重慶路,11
96,25.00405769308556,121.4632808924737,重慶路155巷,13
97,24.99761850875388,121.4634332367558,重慶路308巷,5
98,25.00943301034273,121.4673214767879,海山路,54
99,25.01061613274248,121.4671249155088,區運路,26
100,25.01795280390617,121.4590115290647,國光路,52
101,24.99593530237237,121.4613323385118,國慶路,99
102,24.99771807303181,121.4617551669535,國慶路167巷,13
103,24.9950571854395,121.463651811114,國慶路182巷,15
104,24.99592003492481,121.4597127925582,國慶路49巷,9
105,24.99896017518851,121.4315174368444,莊崑路,10
106,25.01954197329707,121.4711690418063,莊敬里,10
107,25.02706179873764,121.4732011277245,莊敬路,43
108,25.02069933652829,121.4708501725031,莊敬路208巷,3
109,25.0210549608258,121.4717071948536,莊敬路208巷2弄,4
110,25.02081906161975,121.4710060854024,莊敬路208巷6弄,2
111,25.02048449372129,121.4710193551954,莊敬路208巷8弄,9
112,25.02079669393214,121.4708716745337,莊敬路208巷9弄,1
113,25.02030046626539,121.4720140537285,莊敬路220巷,5
114,25.02138144269109,121.4714265163215,莊敬路220巷4弄,1
115,25.027578199442,121.4742436387575,莊敬路25巷,1
116,25.02716098252291,121.4736259069334,莊敬路25巷4弄,11
117,25.02634357565671,121.4737008181213,莊敬路75巷,6
118,25.0244004708426,121.4712933382692,莒光路,1
119,25.02353530205237,121.4720192394666,莒光路78巷,5
120,25.01770831041455,121.4579332835843,復興街,7
121,25.03648703570126,121.4789990963047,華江陸橋,18
122,24.99755754014815,121.4653870196404,華順街,8
123,25.00302041734195,121.4567457451772,貴興路,22
124,25.02482148290284,121.4628876700412,陽明街,45
125,25.01148552941257,121.4782162209718,新北市特一號道路,3
126,25.02203119777161,121.4585060725409,新生街,2
127,25.02293866870597,121.456633340075,新生街23巷,1
128,25.02168056903488,121.458968976622,新生街98巷,12
129,25.02412589359105,121.4603958628719,新海路,70
130,25.02325444975274,121.4599005929297,新海路135巷,4
131,25.02352943069252,121.4611320566102,新海路72巷5弄,1
132,24.99969044201568,121.4326727442329,新崑路,2
133,24.98896533721983,121.4293432030034,溪北路,22
134,24.98852638825307,121.4264534049337,溪崑二街,4
135,24.98847535571653,121.4268888080129,溪崑二街111巷,4
136,24.98836791519941,121.4263323605941,溪崑二街118巷,2
137,24.98705983814084,121.4262373809594,溪崑二街84巷,2
138,25.03000744409891,121.4591817018539,溪頭街,31
139,25.02371020262973,121.4832442508818,萬安街,1
140,25.02368769759527,121.4830955505121,萬安街53巷,6
141,25.02117292068033,121.4712220825035,萬板路,12
142,25.01452867395551,121.4438384042544,僑中一街124巷,1
143,25.01411342696627,121.4435916387502,僑中一街124巷15弄,12
144,25.00864403331315,121.4634413398587,實踐路,3
145,24.98729722424123,121.4270990576876,滿平街136巷10弄,2
146,24.98756121883556,121.4273536727262,滿平街136巷8弄,5
147,24.98729558335031,121.426025093706,滿平街84巷,3
148,24.98805069324133,121.4274268387076,滿平街84巷35弄,4
149,25.00908718064885,121.4711605527457,漢生東路,26
150,25.01193432384793,121.4706112775226,漢生東路193巷,11
151,25.00930764113009,121.4720386472901,漢生東路279巷,19
152,25.02579579056676,121.4552560058582,綠堤街,13
153,24.99400896825336,121.4632755293861,廣和街,36
154,24.99227443555589,121.4640693675179,廣權路,102
155,24.99335263565962,121.4534732258408,德興街,10
156,24.99927247178859,121.4439888519278,館前西路,3
157,25.00768198306877,121.462876998375,館前東路,44
158,25.02403571571631,121.4582600839172,龍泉街,8
159,25.02568207183666,121.4552470455907,龍泉街108巷,1
160,25.02416132041316,121.4582686268469,龍泉街55巷,1
161,25.01440409990656,121.4437643744271,環河西路,1
162,25.02328292690516,121.4491113637237,環河西路五段,35
163,25.03268213205537,121.4811574808,環河西路四段,5
164,25.03093464357598,121.4814173862138,環河西路四段699巷,5
165,25.00991630029709,121.4512210445748,環河路,64
166,24.99954409021365,121.4514322145974,環河道路,12
167,25.02444648833143,121.4775698733178,雙十路一段,6
168,25.02552800562695,121.4771822181934,雙十路二段,10
169,25.02595717895885,121.474312730633,雙十路二段47巷8弄,7
170,25.03074443359598,121.4814860466408,懷德街139巷20弄,3
171,25.03034519775516,121.4816347017187,懷德街181巷,5
172,25.03001463747979,121.4817604911246,懷德街201巷,10
173,25.02806608427645,121.4813316848043,懷德街235巷,11
174,25.01669348419389,121.4721665776972,觀光街12巷1弄,1
